,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,,
1543,"frozenset({'call_depth_max_neg', 'global_nesting_depth_median', 'global_nesting_depth_max_neg'})",frozenset({'AFL_data'}),0.525,0.525,0.316666667,0.603174603,1.148904006,0.041041667,1.197,,
1585,"frozenset({'call_depth_median_neg', 'global_nesting_depth_median', 'global_nesting_depth_max_neg'})",frozenset({'AFL_data'}),0.525,0.525,0.316666667,0.603174603,1.148904006,0.041041667,1.197,,
3288,"frozenset({'call_depth_median_neg', 'call_depth_max_neg', 'global_nesting_depth_median', 'global_nesting_depth_max_neg'})",frozenset({'AFL_data'}),0.525,0.525,0.316666667,0.603174603,1.148904006,0.041041667,1.197,,trace_length_max : 1719.7666666666667
435,"frozenset({'global_nesting_depth_median', 'global_nesting_depth_max_neg'})",frozenset({'AFL_data'}),0.525,0.525,0.316666667,0.603174603,1.148904006,0.041041667,1.197,,global_nesting_depth_max : 3.808333333333333
572,"frozenset({'call_depth_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'AFL_data'}),0.525,0.525,0.316666667,0.603174603,1.148904006,0.041041667,1.197,,call_depth_max : 19.6
1823,"frozenset({'call_depth_median_neg', 'call_depth_max_neg', 'global_nesting_depth_max_neg'})",frozenset({'AFL_data'}),0.525,0.525,0.316666667,0.603174603,1.148904006,0.041041667,1.197,,trace_length_median : 916.2375
554,"frozenset({'call_depth_max_neg', 'global_nesting_depth_max_neg'})",frozenset({'AFL_data'}),0.525,0.525,0.316666667,0.603174603,1.148904006,0.041041667,1.197,,global_nesting_depth_median : -5.425
4989,"frozenset({'global_nesting_depth_median', 'call_depth_median_neg', 'call_depth_max_neg', 'global_nesting_depth_max_neg', 'trace_length_max_neg', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.516666667,0.525,0.308333333,0.596774194,1.13671275,0.037083333,1.178,,call_depth_median : 10.116666666666667
500,"frozenset({'trace_length_max_neg', 'global_nesting_depth_max_neg'})",frozenset({'AFL_data'}),0.516666667,0.525,0.308333333,0.596774194,1.13671275,0.037083333,1.178,,
1417,"frozenset({'trace_length_max_neg', 'global_nesting_depth_median', 'global_nesting_depth_max_neg'})",frozenset({'AFL_data'}),0.516666667,0.525,0.308333333,0.596774194,1.13671275,0.037083333,1.178,,
1837,"frozenset({'call_depth_median_neg', 'global_nesting_depth_max_neg', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.516666667,0.525,0.308333333,0.596774194,1.13671275,0.037083333,1.178,,
566,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.516666667,0.525,0.308333333,0.596774194,1.13671275,0.037083333,1.178,,
1809,"frozenset({'call_depth_max_neg', 'global_nesting_depth_max_neg', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.516666667,0.525,0.308333333,0.596774194,1.13671275,0.037083333,1.178,,
3079,"frozenset({'trace_length_max_neg', 'call_depth_median_neg', 'global_nesting_depth_median', 'global_nesting_depth_max_neg'})",frozenset({'AFL_data'}),0.516666667,0.525,0.308333333,0.596774194,1.13671275,0.037083333,1.178,,
1725,"frozenset({'trace_length_max_neg', 'call_depth_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'AFL_data'}),0.516666667,0.525,0.308333333,0.596774194,1.13671275,0.037083333,1.178,,
1711,"frozenset({'trace_length_max_neg', 'global_nesting_depth_max_neg', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.516666667,0.525,0.308333333,0.596774194,1.13671275,0.037083333,1.178,,
