,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,,
1369,"frozenset({'global_nesting_depth_median', 'call_depth_max_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.525,0.325,0.216666667,0.412698413,1.26984127,0.046041667,1.149324324,,
1411,"frozenset({'global_nesting_depth_median', 'call_depth_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.525,0.325,0.216666667,0.412698413,1.26984127,0.046041667,1.149324324,,
539,"frozenset({'call_depth_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.525,0.325,0.216666667,0.412698413,1.26984127,0.046041667,1.149324324,,
521,"frozenset({'call_depth_max_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.525,0.325,0.216666667,0.412698413,1.26984127,0.046041667,1.149324324,,trace_length_max : 1719.7666666666667
1649,"frozenset({'call_depth_median_neg', 'call_depth_max_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.525,0.325,0.216666667,0.412698413,1.26984127,0.046041667,1.149324324,,global_nesting_depth_max : 3.808333333333333
2826,"frozenset({'global_nesting_depth_median', 'call_depth_median_neg', 'call_depth_max_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.525,0.325,0.216666667,0.412698413,1.26984127,0.046041667,1.149324324,,call_depth_max : 19.6
402,"frozenset({'global_nesting_depth_median', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.525,0.325,0.216666667,0.412698413,1.26984127,0.046041667,1.149324324,,trace_length_median : 916.2375
2616,"frozenset({'global_nesting_depth_median', 'call_depth_median_neg', 'trace_length_max_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,global_nesting_depth_median : -5.425
1397,"frozenset({'global_nesting_depth_median', 'trace_length_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,call_depth_median : 10.116666666666667
1537,"frozenset({'trace_length_max_neg', 'trace_length_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
1551,"frozenset({'call_depth_median_neg', 'trace_length_max_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
1635,"frozenset({'call_depth_max_neg', 'trace_length_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
1663,"frozenset({'call_depth_median_neg', 'trace_length_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
2526,"frozenset({'global_nesting_depth_median', 'trace_length_max_neg', 'call_depth_max_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
2586,"frozenset({'global_nesting_depth_median', 'trace_length_max_neg', 'trace_length_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
1509,"frozenset({'trace_length_max_neg', 'call_depth_max_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
1243,"frozenset({'global_nesting_depth_median', 'trace_length_max_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
2856,"frozenset({'global_nesting_depth_median', 'call_depth_median_neg', 'trace_length_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
2946,"frozenset({'trace_length_max_neg', 'trace_length_median_neg', 'call_depth_max_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
2976,"frozenset({'call_depth_median_neg', 'trace_length_max_neg', 'call_depth_max_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
3006,"frozenset({'call_depth_median_neg', 'trace_length_max_neg', 'trace_length_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
3066,"frozenset({'call_depth_median_neg', 'trace_length_median_neg', 'call_depth_max_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
3646,"frozenset({'call_depth_max_neg', 'global_nesting_depth_median', 'trace_length_max_neg', 'trace_length_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
3708,"frozenset({'call_depth_max_neg', 'global_nesting_depth_median', 'trace_length_max_neg', 'call_depth_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
3770,"frozenset({'global_nesting_depth_median', 'trace_length_max_neg', 'trace_length_median_neg', 'call_depth_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
3894,"frozenset({'call_depth_max_neg', 'global_nesting_depth_median', 'trace_length_median_neg', 'call_depth_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
3956,"frozenset({'call_depth_max_neg', 'trace_length_max_neg', 'trace_length_median_neg', 'call_depth_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
2796,"frozenset({'global_nesting_depth_median', 'trace_length_median_neg', 'call_depth_max_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
4144,"frozenset({'call_depth_max_neg', 'global_nesting_depth_median', 'trace_length_max_neg', 'trace_length_median_neg', 'call_depth_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
533,"frozenset({'trace_length_median_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
467,"frozenset({'trace_length_max_neg', 'global_nesting_depth_max_neg'})",frozenset({'KLEE_data'}),0.516666667,0.325,0.208333333,0.403225806,1.240694789,0.040416667,1.131081081,,
76,frozenset({'global_nesting_depth_max_neg'}),frozenset({'KLEE_data'}),0.558333333,0.325,0.216666667,0.388059701,1.194029851,0.035208333,1.10304878,,
484,"frozenset({'trace_length_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
2735,"frozenset({'global_nesting_depth_median', 'call_depth_median_neg', 'trace_length_max_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
1592,"frozenset({'call_depth_median_neg', 'trace_length_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
1606,"frozenset({'call_depth_median_neg', 'trace_length_max_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
502,"frozenset({'call_depth_median_neg', 'trace_length_max_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
496,"frozenset({'trace_length_max_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
1578,"frozenset({'trace_length_max_neg', 'call_depth_max_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
1676,"frozenset({'call_depth_median_neg', 'call_depth_max_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
550,"frozenset({'call_depth_max_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
2885,"frozenset({'global_nesting_depth_median', 'call_depth_median_neg', 'trace_length_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
377,"frozenset({'global_nesting_depth_median', 'trace_length_max_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
431,"frozenset({'global_nesting_depth_median', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
2675,"frozenset({'global_nesting_depth_median', 'trace_length_max_neg', 'trace_length_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
3035,"frozenset({'call_depth_median_neg', 'trace_length_max_neg', 'trace_length_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
2705,"frozenset({'global_nesting_depth_median', 'call_depth_median_neg', 'trace_length_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
1312,"frozenset({'global_nesting_depth_median', 'trace_length_max_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
1466,"frozenset({'global_nesting_depth_median', 'call_depth_median_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
1438,"frozenset({'global_nesting_depth_median', 'call_depth_max_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
562,"frozenset({'call_depth_median_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
3831,"frozenset({'call_depth_max_neg', 'global_nesting_depth_median', 'trace_length_max_neg', 'trace_length_median_neg', 'call_depth_median_neg'})",frozenset({'KLEE_data'}),0.9,0.325,0.316666667,0.351851852,1.082621083,0.024166667,1.041428571,,
