,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,,
5685,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median', 'global_nesting_depth_median_neg', 'trace_length_max', 'call_depth_max_neg', 'call_depth_median'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,
2107,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median', 'call_depth_max_neg'})",frozenset({'AFL_data'}),0.05,0.525,0.05,1,1.904761905,0.02375,inf,,
651,"frozenset({'global_nesting_depth_median', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.041666667,0.525,0.041666667,1,1.904761905,0.019791667,inf,,
3281,"frozenset({'call_depth_max_neg', 'trace_length_median', 'trace_length_max', 'call_depth_median'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,trace_length_max : 56.0
3348,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median', 'trace_length_max', 'call_depth_max_neg'})",frozenset({'AFL_data'}),0.05,0.525,0.05,1,1.904761905,0.02375,inf,,global_nesting_depth_max : 3.0
2221,"frozenset({'global_nesting_depth_max_neg', 'call_depth_max_neg', 'call_depth_median'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,call_depth_max : 4.0
3403,"frozenset({'call_depth_max_neg', 'trace_length_median', 'global_nesting_depth_median_neg', 'trace_length_max'})",frozenset({'AFL_data'}),0.033333333,0.525,0.033333333,1,1.904761905,0.015833333,inf,,trace_length_median : 37.5
3451,"frozenset({'global_nesting_depth_max_neg', 'trace_length_max', 'call_depth_max_neg', 'call_depth_median'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,global_nesting_depth_median : 2.0
696,"frozenset({'call_depth_max_neg', 'call_depth_median'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,call_depth_median : 2.0
3501,"frozenset({'call_depth_max_neg', 'global_nesting_depth_median_neg', 'trace_length_max', 'call_depth_median'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,
3523,"frozenset({'global_nesting_depth_max_neg', 'global_nesting_depth_median_neg', 'trace_length_max', 'call_depth_max_neg'})",frozenset({'AFL_data'}),0.033333333,0.525,0.033333333,1,1.904761905,0.015833333,inf,,
2164,"frozenset({'call_depth_max_neg', 'global_nesting_depth_median', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,
2157,"frozenset({'global_nesting_depth_median', 'trace_length_median_neg', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,
2149,"frozenset({'call_depth_max_neg', 'global_nesting_depth_median', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,
2130,"frozenset({'call_depth_max_neg', 'trace_length_median', 'global_nesting_depth_median_neg'})",frozenset({'AFL_data'}),0.033333333,0.525,0.033333333,1,1.904761905,0.015833333,inf,,
4058,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median', 'call_depth_max_neg', 'call_depth_median'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,
4108,"frozenset({'call_depth_max_neg', 'trace_length_median', 'global_nesting_depth_median_neg', 'call_depth_median'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,
4130,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median', 'global_nesting_depth_median_neg', 'call_depth_max_neg'})",frozenset({'AFL_data'}),0.033333333,0.525,0.033333333,1,1.904761905,0.015833333,inf,,
4157,"frozenset({'call_depth_max_neg', 'global_nesting_depth_median', 'trace_length_median_neg', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,
4201,"frozenset({'global_nesting_depth_max_neg', 'global_nesting_depth_median_neg', 'call_depth_max_neg', 'call_depth_median'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,
2079,"frozenset({'call_depth_max_neg', 'trace_length_median', 'call_depth_median'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,
4986,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median', 'trace_length_max', 'call_depth_max_neg', 'call_depth_median'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,
1469,"frozenset({'call_depth_max_neg', 'global_nesting_depth_median_neg', 'trace_length_max'})",frozenset({'AFL_data'}),0.033333333,0.525,0.033333333,1,1.904761905,0.015833333,inf,,
1447,"frozenset({'global_nesting_depth_max_neg', 'trace_length_max', 'call_depth_max_neg'})",frozenset({'AFL_data'}),0.05,0.525,0.05,1,1.904761905,0.02375,inf,,
5094,"frozenset({'trace_length_median', 'global_nesting_depth_median_neg', 'trace_length_max', 'call_depth_max_neg', 'call_depth_median'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,
5145,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median', 'global_nesting_depth_median_neg', 'trace_length_max', 'call_depth_max_neg'})",frozenset({'AFL_data'}),0.033333333,0.525,0.033333333,1,1.904761905,0.015833333,inf,,
1419,"frozenset({'call_depth_max_neg', 'trace_length_max', 'call_depth_median'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,
5201,"frozenset({'global_nesting_depth_max_neg', 'global_nesting_depth_median_neg', 'trace_length_max', 'call_depth_max_neg', 'call_depth_median'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,
5419,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median', 'global_nesting_depth_median_neg', 'call_depth_max_neg', 'call_depth_median'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,
2256,"frozenset({'call_depth_max_neg', 'global_nesting_depth_median_neg', 'call_depth_median'})",frozenset({'AFL_data'}),0.025,0.525,0.025,1,1.904761905,0.011875,inf,,
644,"frozenset({'call_depth_max_neg', 'global_nesting_depth_median'})",frozenset({'AFL_data'}),0.075,0.525,0.066666667,0.888888889,1.693121693,0.027291667,4.275,,
1298,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median', 'trace_length_max'})",frozenset({'AFL_data'}),0.066666667,0.525,0.058333333,0.875,1.666666667,0.023333333,3.8,,
593,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median'})",frozenset({'AFL_data'}),0.066666667,0.525,0.058333333,0.875,1.666666667,0.023333333,3.8,,
282,"frozenset({'global_nesting_depth_max_neg', 'trace_length_max'})",frozenset({'AFL_data'}),0.066666667,0.525,0.058333333,0.875,1.666666667,0.023333333,3.8,,
2027,"frozenset({'call_depth_max_neg', 'trace_length_median', 'global_nesting_depth_median'})",frozenset({'AFL_data'}),0.05,0.525,0.041666667,0.833333333,1.587301587,0.015416667,2.85,,
1367,"frozenset({'call_depth_max_neg', 'trace_length_max', 'global_nesting_depth_median'})",frozenset({'AFL_data'}),0.05,0.525,0.041666667,0.833333333,1.587301587,0.015416667,2.85,,
3161,"frozenset({'call_depth_max_neg', 'trace_length_median', 'trace_length_max', 'global_nesting_depth_median'})",frozenset({'AFL_data'}),0.05,0.525,0.041666667,0.833333333,1.587301587,0.015416667,2.85,,
3792,"frozenset({'call_depth_max_neg', 'trace_length_median', 'global_nesting_depth_max', 'global_nesting_depth_median'})",frozenset({'AFL_data'}),0.041666667,0.525,0.033333333,0.8,1.523809524,0.011458333,2.375,,
4824,"frozenset({'global_nesting_depth_median', 'trace_length_median', 'trace_length_max', 'call_depth_max_neg', 'global_nesting_depth_max'})",frozenset({'AFL_data'}),0.041666667,0.525,0.033333333,0.8,1.523809524,0.011458333,2.375,,
1703,"frozenset({'call_depth_max_neg', 'global_nesting_depth_max', 'global_nesting_depth_median'})",frozenset({'AFL_data'}),0.041666667,0.525,0.033333333,0.8,1.523809524,0.011458333,2.375,,
2119,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median', 'global_nesting_depth_median_neg'})",frozenset({'AFL_data'}),0.041666667,0.525,0.033333333,0.8,1.523809524,0.011458333,2.375,,
1458,"frozenset({'global_nesting_depth_max_neg', 'global_nesting_depth_median_neg', 'trace_length_max'})",frozenset({'AFL_data'}),0.041666667,0.525,0.033333333,0.8,1.523809524,0.011458333,2.375,,
2059,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median', 'call_depth_median'})",frozenset({'AFL_data'}),0.041666667,0.525,0.033333333,0.8,1.523809524,0.011458333,2.375,,
1399,"frozenset({'global_nesting_depth_max_neg', 'trace_length_max', 'call_depth_median'})",frozenset({'AFL_data'}),0.041666667,0.525,0.033333333,0.8,1.523809524,0.011458333,2.375,,
3377,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median', 'global_nesting_depth_median_neg', 'trace_length_max'})",frozenset({'AFL_data'}),0.041666667,0.525,0.033333333,0.8,1.523809524,0.011458333,2.375,,
3233,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median', 'trace_length_max', 'call_depth_median'})",frozenset({'AFL_data'}),0.041666667,0.525,0.033333333,0.8,1.523809524,0.011458333,2.375,,
2974,"frozenset({'call_depth_max_neg', 'global_nesting_depth_max', 'trace_length_max', 'global_nesting_depth_median'})",frozenset({'AFL_data'}),0.041666667,0.525,0.033333333,0.8,1.523809524,0.011458333,2.375,,
3475,"frozenset({'global_nesting_depth_max_neg', 'global_nesting_depth_median_neg', 'trace_length_max', 'call_depth_median'})",frozenset({'AFL_data'}),0.033333333,0.525,0.025,0.75,1.428571429,0.0075,1.9,,
5039,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median', 'global_nesting_depth_median_neg', 'trace_length_max', 'call_depth_median'})",frozenset({'AFL_data'}),0.033333333,0.525,0.025,0.75,1.428571429,0.0075,1.9,,
4082,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median', 'global_nesting_depth_median_neg', 'call_depth_median'})",frozenset({'AFL_data'}),0.033333333,0.525,0.025,0.75,1.428571429,0.0075,1.9,,
633,"frozenset({'global_nesting_depth_median', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.058333333,0.525,0.041666667,0.714285714,1.360544218,0.011041667,1.6625,,
1065,"frozenset({'call_depth_max_neg', 'global_nesting_depth_max', 'trace_length_max'})",frozenset({'AFL_data'}),0.083333333,0.525,0.058333333,0.7,1.333333333,0.014583333,1.583333333,,
1664,"frozenset({'call_depth_max_neg', 'trace_length_median', 'global_nesting_depth_max'})",frozenset({'AFL_data'}),0.083333333,0.525,0.058333333,0.7,1.333333333,0.014583333,1.583333333,,
2917,"frozenset({'call_depth_max_neg', 'trace_length_median', 'global_nesting_depth_max', 'trace_length_max'})",frozenset({'AFL_data'}),0.083333333,0.525,0.058333333,0.7,1.333333333,0.014583333,1.583333333,,
862,"frozenset({'call_depth_max_neg', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.291666667,0.525,0.2,0.685714286,1.306122449,0.046875,1.511363636,,
759,"frozenset({'call_depth_max_neg', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.291666667,0.525,0.2,0.685714286,1.306122449,0.046875,1.511363636,,
2405,"frozenset({'call_depth_max_neg', 'trace_length_median_neg', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.291666667,0.525,0.2,0.685714286,1.306122449,0.046875,1.511363636,,
116,frozenset({'call_depth_max_neg'}),frozenset({'AFL_data'}),0.466666667,0.525,0.316666667,0.678571429,1.292517007,0.071666667,1.477777778,,
606,"frozenset({'call_depth_max_neg', 'trace_length_median'})",frozenset({'AFL_data'}),0.175,0.525,0.116666667,0.666666667,1.26984127,0.024791667,1.425,,
295,"frozenset({'call_depth_max_neg', 'trace_length_max'})",frozenset({'AFL_data'}),0.175,0.525,0.116666667,0.666666667,1.26984127,0.024791667,1.425,,
