,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,,
1505,"frozenset({'call_depth_median_neg', 'trace_length_max_neg', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.025,0.325,0.025,1,3.076923077,0.016875,inf,,
1441,"frozenset({'global_nesting_depth_max', 'trace_length_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.025,0.325,0.025,1,3.076923077,0.016875,inf,,
1554,"frozenset({'global_nesting_depth_median_neg', 'global_nesting_depth_max', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.025,0.325,0.025,1,3.076923077,0.016875,inf,,trace_length_max : 56.0
1596,"frozenset({'call_depth_median_neg', 'trace_length_median_neg', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.025,0.325,0.025,1,3.076923077,0.016875,inf,,global_nesting_depth_max : 3.0
1607,"frozenset({'call_depth_median_neg', 'global_nesting_depth_median_neg', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.025,0.325,0.025,1,3.076923077,0.016875,inf,,call_depth_max : 4.0
2877,"frozenset({'global_nesting_depth_max', 'trace_length_median_neg', 'trace_length_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.025,0.325,0.025,1,3.076923077,0.016875,inf,,trace_length_median : 37.5
2922,"frozenset({'global_nesting_depth_max', 'global_nesting_depth_median_neg', 'trace_length_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.025,0.325,0.025,1,3.076923077,0.016875,inf,,global_nesting_depth_median : 2.0
2945,"frozenset({'call_depth_median_neg', 'global_nesting_depth_max', 'trace_length_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.025,0.325,0.025,1,3.076923077,0.016875,inf,,call_depth_median : 2.0
3017,"frozenset({'call_depth_median_neg', 'trace_length_median_neg', 'trace_length_max_neg', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.025,0.325,0.025,1,3.076923077,0.016875,inf,,
3042,"frozenset({'call_depth_median_neg', 'global_nesting_depth_median_neg', 'trace_length_max_neg', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.025,0.325,0.025,1,3.076923077,0.016875,inf,,
3091,"frozenset({'global_nesting_depth_max', 'global_nesting_depth_median_neg', 'trace_length_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.025,0.325,0.025,1,3.076923077,0.016875,inf,,
3114,"frozenset({'call_depth_median_neg', 'global_nesting_depth_max', 'trace_length_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.025,0.325,0.025,1,3.076923077,0.016875,inf,,
3139,"frozenset({'call_depth_median_neg', 'global_nesting_depth_max', 'global_nesting_depth_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.025,0.325,0.025,1,3.076923077,0.016875,inf,,
