,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
6,frozenset({'trace_length_max'}),frozenset({'AFL_data'}),0.1,0.475,0.066666667,0.666666667,1.403508772,0.019166667,1.575
23,frozenset({'trace_length_median'}),frozenset({'AFL_data'}),0.1,0.475,0.066666667,0.666666667,1.403508772,0.019166667,1.575
96,"frozenset({'trace_length_max', 'trace_length_median'})",frozenset({'AFL_data'}),0.1,0.475,0.066666667,0.666666667,1.403508772,0.019166667,1.575
670,"frozenset({'global_nesting_depth_max', 'global_nesting_depth_median', 'call_depth_median_neg'})",frozenset({'AFL_data'}),0.441666667,0.475,0.233333333,0.528301887,1.112214499,0.023541667,1.113
203,"frozenset({'global_nesting_depth_max', 'call_depth_median_neg'})",frozenset({'AFL_data'}),0.441666667,0.475,0.233333333,0.528301887,1.112214499,0.023541667,1.113
184,"frozenset({'global_nesting_depth_max', 'call_depth_max_neg'})",frozenset({'AFL_data'}),0.441666667,0.475,0.233333333,0.528301887,1.112214499,0.023541667,1.113
142,"frozenset({'global_nesting_depth_max', 'global_nesting_depth_median'})",frozenset({'AFL_data'}),0.441666667,0.475,0.233333333,0.528301887,1.112214499,0.023541667,1.113
1681,"frozenset({'global_nesting_depth_max', 'call_depth_max_neg', 'global_nesting_depth_median', 'call_depth_median_neg'})",frozenset({'AFL_data'}),0.441666667,0.475,0.233333333,0.528301887,1.112214499,0.023541667,1.113
626,"frozenset({'global_nesting_depth_max', 'call_depth_max_neg', 'global_nesting_depth_median'})",frozenset({'AFL_data'}),0.441666667,0.475,0.233333333,0.528301887,1.112214499,0.023541667,1.113
18,frozenset({'global_nesting_depth_max'}),frozenset({'AFL_data'}),0.441666667,0.475,0.233333333,0.528301887,1.112214499,0.023541667,1.113
795,"frozenset({'global_nesting_depth_max', 'call_depth_max_neg', 'call_depth_median_neg'})",frozenset({'AFL_data'}),0.441666667,0.475,0.233333333,0.528301887,1.112214499,0.023541667,1.113
781,"frozenset({'global_nesting_depth_max', 'call_depth_max_neg', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.383333333,0.475,0.2,0.52173913,1.098398169,0.017916667,1.097727273
654,"frozenset({'global_nesting_depth_max', 'global_nesting_depth_median', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.383333333,0.475,0.2,0.52173913,1.098398169,0.017916667,1.097727273
711,"frozenset({'global_nesting_depth_max', 'call_depth_max_neg', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.383333333,0.475,0.2,0.52173913,1.098398169,0.017916667,1.097727273
586,"frozenset({'global_nesting_depth_max', 'global_nesting_depth_median', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.383333333,0.475,0.2,0.52173913,1.098398169,0.017916667,1.097727273
740,"frozenset({'global_nesting_depth_max', 'trace_length_median_neg', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.383333333,0.475,0.2,0.52173913,1.098398169,0.017916667,1.097727273
754,"frozenset({'global_nesting_depth_max', 'trace_length_max_neg', 'call_depth_median_neg'})",frozenset({'AFL_data'}),0.383333333,0.475,0.2,0.52173913,1.098398169,0.017916667,1.097727273
1771,"frozenset({'global_nesting_depth_max', 'call_depth_max_neg', 'trace_length_median_neg', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.383333333,0.475,0.2,0.52173913,1.098398169,0.017916667,1.097727273
810,"frozenset({'global_nesting_depth_max', 'trace_length_median_neg', 'call_depth_median_neg'})",frozenset({'AFL_data'}),0.383333333,0.475,0.2,0.52173913,1.098398169,0.017916667,1.097727273
