,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
2669,"frozenset({'global_nesting_depth_max', 'trace_length_median', 'call_depth_max', 'call_depth_median', 'global_nesting_depth_median', 'trace_length_max'})",frozenset({'KLEE_data'}),0.091666667,0.675,0.091666667,1,1.481481481,0.029791667,inf
969,"frozenset({'global_nesting_depth_max', 'call_depth_max', 'global_nesting_depth_median'})",frozenset({'KLEE_data'}),0.133333333,0.675,0.133333333,1,1.481481481,0.043333333,inf
1514,"frozenset({'trace_length_max', 'global_nesting_depth_max', 'call_depth_max', 'global_nesting_depth_median'})",frozenset({'KLEE_data'}),0.091666667,0.675,0.091666667,1,1.481481481,0.029791667,inf
328,"frozenset({'call_depth_max', 'global_nesting_depth_median'})",frozenset({'KLEE_data'}),0.133333333,0.675,0.133333333,1,1.481481481,0.043333333,inf
1736,"frozenset({'trace_length_max', 'call_depth_max', 'global_nesting_depth_median', 'trace_length_median'})",frozenset({'KLEE_data'}),0.091666667,0.675,0.091666667,1,1.481481481,0.029791667,inf
1792,"frozenset({'trace_length_max', 'call_depth_max', 'global_nesting_depth_median', 'call_depth_median'})",frozenset({'KLEE_data'}),0.091666667,0.675,0.091666667,1,1.481481481,0.029791667,inf
1897,"frozenset({'global_nesting_depth_max', 'call_depth_max', 'global_nesting_depth_median', 'trace_length_median'})",frozenset({'KLEE_data'}),0.125,0.675,0.125,1,1.481481481,0.040625,inf
1108,"frozenset({'call_depth_max', 'global_nesting_depth_median', 'call_depth_median'})",frozenset({'KLEE_data'}),0.133333333,0.675,0.133333333,1,1.481481481,0.043333333,inf
1956,"frozenset({'global_nesting_depth_max', 'call_depth_max', 'global_nesting_depth_median', 'call_depth_median'})",frozenset({'KLEE_data'}),0.133333333,0.675,0.133333333,1,1.481481481,0.043333333,inf
1081,"frozenset({'call_depth_max', 'global_nesting_depth_median', 'trace_length_median'})",frozenset({'KLEE_data'}),0.125,0.675,0.125,1,1.481481481,0.040625,inf
2014,"frozenset({'call_depth_max', 'global_nesting_depth_median', 'call_depth_median', 'trace_length_median'})",frozenset({'KLEE_data'}),0.125,0.675,0.125,1,1.481481481,0.040625,inf
2267,"frozenset({'global_nesting_depth_max', 'trace_length_median', 'call_depth_max', 'global_nesting_depth_median', 'trace_length_max'})",frozenset({'KLEE_data'}),0.091666667,0.675,0.091666667,1,1.481481481,0.029791667,inf
2386,"frozenset({'global_nesting_depth_max', 'call_depth_max', 'call_depth_median', 'global_nesting_depth_median', 'trace_length_max'})",frozenset({'KLEE_data'}),0.091666667,0.675,0.091666667,1,1.481481481,0.029791667,inf
776,"frozenset({'trace_length_max', 'call_depth_max', 'global_nesting_depth_median'})",frozenset({'KLEE_data'}),0.091666667,0.675,0.091666667,1,1.481481481,0.029791667,inf
2504,"frozenset({'trace_length_median', 'call_depth_max', 'call_depth_median', 'global_nesting_depth_median', 'trace_length_max'})",frozenset({'KLEE_data'}),0.091666667,0.675,0.091666667,1,1.481481481,0.029791667,inf
